ProductName,DiscountPrice,Image_Url,Category
Cream Beauty Bathing Bar,651.64,https://www.bigbasket.com/media/uploads/p/l/1209799_4-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene
"Cream Beauty Bathing Bar, Has 1/4th Moisturizing Cream",64.00,https://www.bigbasket.com/media/uploads/p/l/306161_10-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene
Cream Beauty Bathing Bar,802.00,https://www.bigbasket.com/media/uploads/p/l/1209800_3-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene
"Cream Beauty Bathing Bar - For Soft, Smooth Skin",696.00,https://www.bigbasket.com/media/uploads/p/l/40158282_10-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene
"Cream Beauty Bathing Bar, Has 1/4th Moisturizing Cream",401.00,https://www.bigbasket.com/media/uploads/p/l/40016743_10-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene
Cream Beauty Bathing Bar,345.60,https://www.bigbasket.com/media/uploads/p/l/1209809_3-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene
"Cream Beauty Bathing Bar, Has 1/4th Moisturizing Cream",230.00,https://www.bigbasket.com/media/uploads/p/l/266706_15-dove-cream-beauty-bathing-bar.jpg,Beauty & Hygiene
Cream Beauty Bathing Bar Soap,512.00,https://www.bigbasket.com/media/uploads/p/l/1206004_1-dove-cream-beauty-bathing-bar-soap.jpg,Beauty & Hygiene
Sunrise Instant Coffee - Chicory Mixture,90.00,https://www.bigbasket.com/media/uploads/p/l/20005895_6-nescafe-sunrise-instant-coffee-chicory-mixture.jpg,Beverages
Sunrise Rich Aroma,795.00,https://www.bigbasket.com/media/uploads/p/l/40111434_10-nescafe-sunrise-rich-aroma.jpg,Beverages
"Sunrise Instant Coffee Powder - Chicory Mix, Extra Strong",785.00,https://www.bigbasket.com/media/uploads/p/l/118572_3-nescafe-sunrise-extra-sachet.jpg,Beverages
"Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour",190.00,https://www.bigbasket.com/media/uploads/p/l/292149_7-nescafe-sunrise-instant-coffee-chicory-mix.jpg,Beverages
"Sunrise Instant Coffee-Chicory Mix, Rich In Aroma & Flavour,",10.00,https://www.bigbasket.com/media/uploads/p/l/40020215_6-nescafe-sunrise-coffee.jpg,Beverages
Sunrise Instant Coffee,5.00,https://www.bigbasket.com/media/uploads/p/l/40020218_3-nescafe-sunrise-instant-coffee.jpg,Beverages
"Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour",338.00,https://www.bigbasket.com/media/uploads/p/l/241695_13-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,Beverages
Gulabari Premium Rose Water - Paraben Free Skin Toner,134.40,https://www.bigbasket.com/media/uploads/p/l/1214522_3-dabur-gulabari-premium-rose-water-paraben-free-skin-toner.jpg,Beauty & Hygiene
"Gulabari Premium Rose Water - Daily Glow, All Skin Types, Paraben Free, Alcohol Free",72.00,https://www.bigbasket.com/media/uploads/p/l/263860_8-dabur-gulabari-premium-rose-water-paraben-free-skin-toner.jpg,Beauty & Hygiene
"Gulabari Premium Rose Water - Daily Glow, All Skin Types, Paraben Free, Alcohol Free",45.00,https://www.bigbasket.com/media/uploads/p/l/260654_7-dabur-gulabari-premium-rose-water-paraben-free-skin-toner.jpg,Beauty & Hygiene
Pasteurised Butter,251.00,https://www.bigbasket.com/media/uploads/p/l/104864_8-amul-butter-pasteurised.jpg,"Bakery, Cakes & Dairy"
Butter - Pasteurized,99.96,https://www.bigbasket.com/media/uploads/p/l/1200163_4-amul-butter-pasteurized.jpg,"Bakery, Cakes & Dairy"
Butter - Pasteurized,502.00,https://www.bigbasket.com/media/uploads/p/l/1202759_3-amul-butter-pasteurized.jpg,"Bakery, Cakes & Dairy"
Butter - Pasteurised,149.94,https://www.bigbasket.com/media/uploads/p/l/1205137_3-amul-butter-pasteurized-carton.jpg,"Bakery, Cakes & Dairy"
Pasteurised Butter,51.00,https://www.bigbasket.com/media/uploads/p/l/104860_8-amul-butter-pasteurised.jpg,"Bakery, Cakes & Dairy"
Butter - Pasteurized,204.00,https://www.bigbasket.com/media/uploads/p/l/1204991_3-amul-butter-pasteurized.jpg,"Bakery, Cakes & Dairy"
"Farm Fresh Curd/Dahi - Premium, No Preservatives",45.00,https://www.bigbasket.com/media/uploads/p/l/40003162_4-milky-mist-curd-farm-fresh.jpg,"Bakery, Cakes & Dairy"
"Farm Fresh Curd/Dahi - Premium, No Preservatives",89.00,https://www.bigbasket.com/media/uploads/p/l/1200180_4-milky-mist-curd-farm-fresh.jpg,"Bakery, Cakes & Dairy"
Chana Dal/Kadale Bele,99.00,https://www.bigbasket.com/media/uploads/p/l/10000803_14-bb-royal-channa-dal.jpg,"Foodgrains, Oil & Masala"
Chana Dal/Kadale Bele,194.00,https://www.bigbasket.com/media/uploads/p/l/40042838_11-bb-royal-channa-dal.jpg,"Foodgrains, Oil & Masala"
Chana Dal/Kadale Bele,51.00,https://www.bigbasket.com/media/uploads/p/l/10000471_17-bb-royal-channa-dal.jpg,"Foodgrains, Oil & Masala"
Maida,45.00,https://www.bigbasket.com/media/uploads/p/l/10000416_12-bb-royal-maida.jpg,"Foodgrains, Oil & Masala"
Maida,86.00,https://www.bigbasket.com/media/uploads/p/l/40044729_7-bb-royal-maida.jpg,"Foodgrains, Oil & Masala"
Maida,24.00,https://www.bigbasket.com/media/uploads/p/l/10000468_12-bb-royal-maida.jpg,"Foodgrains, Oil & Masala"
Maida,225.00,https://www.bigbasket.com/media/uploads/p/l/1213921_1-bb-royal-maida.jpg,"Foodgrains, Oil & Masala"
"Moong - Green, Whole/Sabut",69.00,https://www.bigbasket.com/media/uploads/p/l/10000443_16-bb-royal-moong-green-wholesabut.jpg,"Foodgrains, Oil & Masala"
Green Moong Whole/Hesaru Kaalu - Sabut,135.00,https://www.bigbasket.com/media/uploads/p/l/20000437_12-bb-royal-green-moong-wholesabut.jpg,"Foodgrains, Oil & Masala"
"Black Soft Drink - Max Taste, Zero Sugar(Diet)",33.25,https://www.bigbasket.com/media/uploads/p/l/40104245_6-pepsi-black-soft-drink-max-taste-zero-caldiet.jpg,Beverages
Poha /Avalakki/Aval/Chivda -Thick,35.00,https://www.bigbasket.com/media/uploads/p/l/10000453_14-bb-royal-poha-avalakkiavalchivda-thick.jpg,"Foodgrains, Oil & Masala"
"Poha/Avalakki/Aval/Chivda Thick - Flattened & Beaten Rice , Makers Breakfast &  Teatime Snacks",58.00,https://www.bigbasket.com/media/uploads/p/l/10000431_18-bb-royal-pohaavalakkiavalchivda-thick.jpg,"Foodgrains, Oil & Masala"
Diaper Pants - XXL,361.00,https://www.bigbasket.com/media/uploads/p/l/40111395_7-pampers-diaper-pants-xxl.jpg,Baby Care
"All-Round Protection Diaper Pants - XXL, 15-25 kg, Ultra Absorb Core, Leakage Prevention for upto 12 Hours",841.50,https://www.bigbasket.com/media/uploads/p/l/40185708_4-pampers-diaper-pants-xxl.jpg,Baby Care
Urad Dal/Uddina Bele - Split,139.00,https://www.bigbasket.com/media/uploads/p/l/30010377_11-bb-popular-urad-dal-split.jpg,"Foodgrains, Oil & Masala"
Urad Dal/Uddina Bele - Split,71.00,https://www.bigbasket.com/media/uploads/p/l/30010379_12-bb-popular-urad-dal-split.jpg,"Foodgrains, Oil & Masala"
Mustard/Sasive/Rai - Small,80.00,https://www.bigbasket.com/media/uploads/p/l/40026602_10-bb-royal-mustardrai-small.jpg,"Foodgrains, Oil & Masala"
Mustard/Sasive/Rai - Small,17.00,https://www.bigbasket.com/media/uploads/p/l/10000482_13-bb-royal-mustardrai-small.jpg,"Foodgrains, Oil & Masala"
